termo_pesquisa,id,titulo,preco,link,vendedor,condicao,disponibilidade,vendidos
apple tv,MLA1470242961, Apple Tv A1469 3.ª Generación Rev. A Full Hd 8gb Negro,65000.0,https://articulo.mercadolibre.com.ar/MLA-1470242961-apple-tv-a1469-3-generacion-rev-a-full-hd-8gb-negro-_JM,40251114,used,1,
apple tv,MLA1438665381,Apple Tv A1427 3.ª Generación Full Hd 8gb Negro 512mb,250000.0,https://articulo.mercadolibre.com.ar/MLA-1438665381-apple-tv-a1427-3-generacion-full-hd-8gb-negro-512mb-_JM,98495999,used,1,
apple tv,MLA1897081278,Apple Tv  4.ª Generación Full Hd 32gb Negro,250000.0,https://articulo.mercadolibre.com.ar/MLA-1897081278-apple-tv-4-generacion-full-hd-32gb-negro-_JM,98495999,used,1,
apple tv,MLA2017639986,Apple Tv Hd 4ta 32gb + Soporte De Pared,230000.0,https://articulo.mercadolibre.com.ar/MLA-2017639986-apple-tv-hd-4ta-32gb-soporte-de-pared-_JM,80943256,used,1,
apple tv,MLA2010343912,Apple Tv 4k 64gb (wi-fi) - 3.a Generación 2019-sin Control R Negro De Voz,30000.0,https://www.mercadolibre.com.ar/apple-tv-4k-64gb-wifi--3a-generacion-2019sin-control-r/up/MLAU3006041310#wid=MLA2010343912&sid=unknown,85891306,used,1,
apple tv,MLA1419331631, Apple Tv 1ª Gen Full Hd -olo Aparato - Enciende - No Envío,25775.2,https://articulo.mercadolibre.com.ar/MLA-1419331631-apple-tv-1-gen-full-hd-olo-aparato-enciende-no-envio-_JM,290356664,used,1,
apple tv,MLA2015918398,Apple Tv 64gb,150000.0,https://articulo.mercadolibre.com.ar/MLA-2015918398-apple-tv-64gb-_JM,188664185,used,1,
apple tv,MLA1477935599,Apple Tv 3ra Generación A1469,65000.0,https://articulo.mercadolibre.com.ar/MLA-1477935599-apple-tv-3ra-generacion-a1469-_JM,62134019,used,1,
apple tv,MLA924796800,Apple Tv Modelo A1469 3ra Gen - No Enciende - No Envío - C12,45654.0,https://articulo.mercadolibre.com.ar/MLA-924796800-apple-tv-modelo-a1469-3ra-gen-no-enciende-no-envio-c12-_JM,290356664,used,1,
amazon fire tv,MLA1418105717,Amazon Fire Tv Stick 4k 2023 Wifi 6 2gb De Ram Con Alexa Color Negro,68499.0,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-4k-2023-wifi-6-2gb-de-ram-con-alexa-color-negro/p/MLA28024922#wid=MLA1418105717&sid=unknown,86898163,new,1,
amazon fire tv,MLA1106539941,Amazon Lite Fire Tv Stick B091g4yp57 De Voz Full Hd 8gb Negro Con 1gb De Memoria Ram,57985.0,https://www.mercadolibre.com.ar/amazon-lite-fire-tv-stick-b091g4yp57-de-voz-full-hd-8gb-negro-con-1gb-de-memoria-ram/p/MLA19732185#wid=MLA1106539941&sid=unknown,52270943,new,1,
amazon fire tv,MLA1436039249,Amazon Fire Tv Stick 4k Ultra Hd Max 16gb 2nda Generación Wi-fi 6e Color Negro Tipo De Control Remoto Estándar,100150.0,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-4k-ultra-hd-max-16gb-2nda-generacion-wi-fi-6e-color-negro-tipo-de-control-remoto-estandar/p/MLA29627884#wid=MLA1436039249&sid=unknown,167338436,new,1,
amazon fire tv,MLA1920595708,Amazon Fire Tv Stick De Voz 3gen Full Hd 8gb Negro Con 1gb De Ram,84075.0,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-de-voz-3gen-full-hd-8gb-negro-con-1gb-de-ram/p/MLA18593745#wid=MLA1920595708&sid=unknown,656691895,new,1,
